Date,Open,High,Low,Close,Volume
2025-04-22,608.0,659.99,595.41,631.41,73.81475
2025-04-23,604.76,699.0,601.18,606.0,361.11106
2025-04-24,606.49,609.25,593.53,601.92,235.91925
2025-04-25,601.09,610.97,598.88,599.8,156.2992
2025-04-26,602.46,621.22,599.86,612.14,130.1373
2025-04-27,611.95,617.24,598.61,605.56,236.88611
2025-04-28,605.76,610.16,599.35,607.88,171.17271
2025-04-29,607.74,611.21,599.47,602.98,265.9725
2025-04-30,602.72,609.53,592.02,601.02,142.03563
2025-05-01,601.21,606.37,599.1,599.42,65.22224
2025-05-02,600.92,604.98,596.23,601.91,199.0384
2025-05-03,603.42,607.1,596.38,599.66,256.0379
2025-05-04,599.92,600.08,588.95,588.95,56.79588
